SID,wave,item,Inventory,Trait,Facet,Reverse,Mini,Maxi,Modified Item,word
01,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,isolated
01,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,extroverted
01,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,tempermental
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,live
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,home
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,cook
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,meals
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,watch
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,tv
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,movies
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,family
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,talk
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,grandparents
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,friendship
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,bracelets
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,random
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,crafts
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,daily
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,walks
01,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,procrastinate
02,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,staying
02,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,indoors
02,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,physically
02,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,school
02,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,exercise
02,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,check
02,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,news
02,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,frequently
02,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,read
02,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,learn
02,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,internet
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,family
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,constant
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,school
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,breaks
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,phone
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,screen
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,time
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,significantly
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,increased
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,amount
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,procrastination
03,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,engage
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,avoiding
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,people
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,sense
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,cleanliness
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,inside
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,day
04,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,nice
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,home
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,run
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,avoid
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,people
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,wash
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,hands
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,wash
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,groceries
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,wear
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,mask
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,wear
04,3,Q71,COVID Behavior Change,New Behaviors,newBeh,NA,NA,NA,What do you do now that didn't do before COVID-19?,gloves
05,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,spending
05,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,time
05,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,friends
05,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,amount
05,3,Q69,COVID Behavior Change,Different Behaviors,diffBeh,NA,NA,NA,Which of your current behaviors are most different from your behaviors pre-COVID-19?,time
