"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",320.3933,311,216,0.3447,0.0219,0.0866,0.9415,0.9609,6009.301,5546.3839,-2557.1919,"converged normally"
"02",327.9107,305,222,0.1756,0.0348,0.0909,0.9341,0.9568,5674.7356,5202.5117,-2379.2559,"converged normally"
"03",309.1293,293,234,0.2477,0.0305,0.076,0.9257,0.9532,5610.4255,5124.2818,-2328.1409,"converged normally"
"04",286.5098,271,256,0.2475,0.0349,0.0672,0.9207,0.9538,4569.2771,4095.6393,-1791.8196,"converged normally"
"05",280.8737,266,261,0.254,0.0374,0.0771,0.9126,0.95,3962.4116,3521.614,-1499.807,"converged normally"
"06",324.8627,300,227,0.155,0.0403,0.0792,0.9236,0.9507,4699.3917,4260.8673,-1903.4336,"converged normally"
"07",271.1719,250,277,0.1708,0.0478,0.0675,0.9179,0.9559,3542.9884,3096.7641,-1271.3821,"converged normally"
"08",296.0502,277,250,0.2062,0.041,0.074,0.9237,0.9546,3925.5758,3497.1828,-1498.5914,"converged normally"
"09",306.5298,281,246,0.1414,0.041,0.0722,0.9212,0.9524,5007.2396,4517.9495,-2012.9748,"converged normally"
"10",296.934,286,241,0.3159,0.0288,0.0756,0.9256,0.9542,4540.0709,4099.3683,-1808.6841,"converged normally"
"11",306.827,275,252,0.0907,0.0496,0.068,0.9226,0.9542,4232.3847,3766.1476,-1631.0738,"converged normally"
"13",317.4611,307,220,0.3284,0.0249,0.0934,0.9464,0.9646,5244.4722,4802.8589,-2181.4294,"converged normally"
"14",3671.3485,277,250,0,0.7463,0.1035,-0.4617,0.1293,1999.1277,1726.3671,-613.1835,"converged normally"
"16",334.4709,313,214,0.1933,0.0282,0.0785,0.9379,0.9582,7836.88,7311.6497,-3441.8249,"converged normally"
"17",288.3762,260,267,0.1092,0.0487,0.0643,0.9252,0.9582,4179.1005,3690.8532,-1578.4266,"converged normally"
"18",329.7475,300,227,0.1144,0.032,0.0644,0.9315,0.9558,8740.4796,8156.0202,-3851.0101,"converged normally"
"19",336.6359,311,216,0.1521,0.0295,0.0771,0.936,0.9572,8581.9519,8030.3145,-3799.1573,"converged normally"
"21",318.8544,294,233,0.1527,0.035,0.0717,0.9332,0.9578,6305.6807,5785.1338,-2659.5669,"converged normally"
"22",315.6545,296,231,0.2067,0.0296,0.0701,0.9312,0.9562,7066.0835,6527.6841,-3032.8421,"converged normally"
"23",327.6522,296,231,0.0995,0.0433,0.0782,0.9224,0.9506,5153.4016,4681.4567,-2109.7284,"converged normally"
"24",327.3925,305,222,0.1808,0.0313,0.0734,0.9385,0.9596,6822.5364,6308.054,-2932.027,"converged normally"
"25",326.9209,302,225,0.1552,0.0346,0.0823,0.9381,0.9598,6247.7868,5745.1128,-2647.5564,"converged normally"
"26",314.91,292,235,0.1706,0.0313,0.065,0.9304,0.9563,7381.5619,6821.7856,-3175.8928,"converged normally"
"27",334.5943,297,230,0.0657,0.0375,0.0649,0.9265,0.9531,7991.5162,7416.56,-3478.28,"converged normally"
"28",302.9075,280,247,0.1658,0.0441,0.0727,0.9201,0.9519,3955.1858,3525.9814,-1515.9907,"converged normally"
"29",294.0091,275,252,0.2059,0.0392,0.0755,0.9162,0.9505,4316.5871,3861.3081,-1678.6541,"converged normally"
"30",304.9706,285,242,0.1989,0.0408,0.0733,0.9223,0.9524,3980.2765,3559.7604,-1537.8802,"converged normally"
"31",324.93,289,238,0.0716,0.0499,0.0751,0.9446,0.9656,4121.5425,3666.481,-1595.2405,"converged normally"
