"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",-0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4567,0,0,0
"A_Rspct",0,-0.1357,0,0.4398,0,0,0,0,0,0,0,0,0,0,0,0.3363,0,0,0,0,0,0,0,0,-0.3382,0,0,0,0,0
"A_Trust",0,0,-0.1517,0,0,0,0,0,0,0,-0.4064,0,0,0,0,0,0,0,0,0,0,0,0,0.3342,0,0,-0.2822,0,0,0
"C_Org",0,0,0,0.1197,0,0,0,0,0,0,0.2728,-0.4119,0,0,-0.4986,0,0,0,0,0,0,0,0,0,0,-0.4709,0,0,0,0
"C_Prdctv",0,0,0,0,0.0287,0,0,0,0,0,0,0,0,0,-0.3085,0,0,0,0,0,0,0,0,0,0,-0.3869,0,0,0.2909,0
"C_Rspnbl",0,0,0,0,0,-0.1842,0,0,0,0,0,0,0,0,0,0,0,0,-0.2976,0,0,0,0,0,-0.5528,0,0,0,0,0
"E_Assert",0,0,-0.405,0,0,0,-0.2874,0.2794,0,0,0,0,0,0,0,0,0,0.3607,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.0221,0,0,0,0,0,0,0,0,0.355,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0.4389,0,0,0,0,0.3127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,-0.2907,0,0.1133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4111,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.1988,0,0,0,0,0,0.3205,0,0,0,0,0,0,-0.3799,0,0,0.3171,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.2277,0,0,0,0,0,0,0,0,0,0,0,0,0.4912,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,-0.1805,0,0,0,0,0,0,0.4011,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0.5477,0,-0.1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7104,0,0,0,0,0,0,0,0.64,0,0,0,0,0,-0.9043,0
