"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.1626,0,0,0,0,0,0,0,0,0.1748,0,0.1467,0,0,0,0,0,0,0,0,0,0.1636,0,0,0,0,0.1997,0,0,0
"A_Rspct",0,0.1488,0,0,0.1585,0.1614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1092,0,0,0,0,0.1133,0.1243,0,0,0,0.1183,0,0,0,0,0,0,0.1313,0,0,0,0,0,0,0,0,0.1349,0
"C_Org",0,0,0,0.1558,0.1408,0,0,0,0,0.1704,0,0,0,0,0,0.1502,0,0,0,0,0,0,0,0.1468,0.2004,0,0,0,0,0
"C_Prdctv",0,0,0.1237,0.1459,0.1384,0,0,0,0,0.1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1301,0
"C_Rspnbl",0.1535,0,0,0,0.1906,0.1451,0,0,0,0,0.1316,0,0,0,0,0.146,0.1564,0.1707,0,0,0,0,0.3194,0,0.2131,0,0,0,0,0.2682
"E_Assert",0,0,0,0,0,0,0.1454,0,0,0,0,0,0.1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1588,0
"E_EnerLev",0,0,0,0,0,0,0,0.1766,0,0,0.1758,0,0,0,0,0,0,0,0,0,0.1827,0,0,0,0,0,0,0,0.1979,0.1768
"E_Scblty",0,0,0,0,0,0,0.1484,0,0.1633,0,0,0.1513,0.1441,0,0,0,0,0,0,0,0,0,0,0,0,0.1491,0,0,0,0
"N_Anxty",0,0.0635,0.0638,0.0758,0,0.0729,0.066,0,0,0.0994,0,0,0.0942,0.0904,0,0,0,0.0875,0,0,0,0,0,0,0,0,0.0671,0.0702,0.0918,0
"N_Depr",0,0,0,0,0,0,0,0,0.1165,0,0.1125,0,0,0,0,0,0,0,0,0,0,0,0.1078,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0.0928,0,0.0929,0,0,0,0,0,0,0.0915,0,0,0.0877,0.1303,0,0,0.1281,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0.1553,0,0,0,0.1595,0.1277,0,0,0,0,0,0.1407,0,0,0,0,0.1324,0,0,0,0,0,0.1386
"O_CrtvImag",0,0.0786,0,0,0,0,0.0929,0,0.1077,0,0.0874,0,0.0817,0.0891,0,0.1021,0.0807,0,0,0,0,0,0,0,0,0,0,0,0,0.0942
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3127,0,0,0,0.5168,0,0.4754,0,0,0,0,0,0,0,0,0
