"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",305.9748,298,197,0.3628,0.0206,0.0887,0.9458,0.9628,5795.9449,5373.7474,-2489.8737,"converged normally"
"02",316.4351,291,204,0.1463,0.0375,0.0943,0.9283,0.9521,5445.2027,5011.2673,-2301.6337,"converged normally"
"03",295.6761,280,215,0.2487,0.0308,0.0769,0.9251,0.9518,5404.0306,4957.3601,-2263.68,"converged normally"
"04",275.2442,260,235,0.2467,0.0353,0.0692,0.9227,0.9538,4382.4844,3947.6997,-1738.8499,"converged normally"
"05",268.7567,256,239,0.2796,0.0353,0.0793,0.9224,0.9543,3806.5494,3402.9072,-1462.4536,"converged normally"
"06",309.0874,288,207,0.1879,0.0379,0.0821,0.9296,0.9534,4545.2154,4145.3275,-1865.6638,"converged normally"
"07",263.976,243,252,0.1697,0.0483,0.0724,0.9163,0.9532,3404.404,2998.4527,-1247.2263,"converged normally"
"08",291.626,273,222,0.2095,0.0408,0.0799,0.9243,0.9525,3760.6972,3380.2842,-1468.1421,"converged normally"
"09",293.9314,270,225,0.1516,0.0405,0.0767,0.9241,0.9529,4818.1307,4370.6093,-1960.3047,"converged normally"
"10",288.3147,282,213,0.3852,0.0221,0.08,0.9494,0.9672,4372.4402,3982.9396,-1778.4698,"converged normally"
"11",296.0745,266,229,0.0992,0.049,0.0701,0.9267,0.9552,4056.5308,3632.847,-1587.4235,"converged normally"
"13",301.1322,293,202,0.3593,0.0225,0.0945,0.9579,0.9716,5041.194,4635.7127,-2115.8563,"converged normally"
"14",3240.8857,249,246,0,0.739,0.1038,-0.4811,0.1522,1895.1541,1626.7576,-567.3788,"converged normally"
"16",321.3051,300,195,0.1902,0.0287,0.0801,0.9352,0.9553,7564.7133,7086.1155,-3348.0578,"converged normally"
"17",275.4151,248,247,0.1116,0.049,0.0702,0.923,0.9561,4045.0827,3593.4083,-1549.7041,"converged normally"
"18",317.1641,287,208,0.1066,0.0329,0.065,0.9305,0.9541,8413.2579,7877.718,-3730.859,"converged normally"
"19",321.1285,297,198,0.1607,0.0292,0.0777,0.9396,0.9588,8261.44,7755.7724,-3679.8862,"converged normally"
"21",308.4176,282,213,0.1341,0.0368,0.074,0.928,0.9533,6070.4198,5594.5551,-2584.2776,"converged normally"
"22",300.9485,281,214,0.1976,0.0306,0.071,0.9301,0.9548,6801.6688,6302.8919,-2937.4459,"converged normally"
"23",306.6251,281,214,0.1406,0.04,0.0792,0.9376,0.9597,4940.1266,4502.9136,-2037.4568,"converged normally"
"24",316.3492,292,203,0.1567,0.0333,0.076,0.9305,0.9533,6582.4728,6112.0227,-2853.0113,"converged normally"
"25",313.6244,291,204,0.1731,0.0336,0.0857,0.9415,0.9608,6025.1194,5569.3617,-2580.6808,"converged normally"
"26",302.4505,279,216,0.1601,0.0324,0.0662,0.9286,0.9542,7103.9823,6589.4646,-3078.7323,"converged normally"
"27",323.5936,286,209,0.0623,0.0382,0.063,0.9264,0.9516,7687.5293,7165.0691,-3373.5346,"converged normally"
"28",291.1878,269,226,0.1685,0.0443,0.0759,0.923,0.9524,3788.8406,3396.1273,-1472.0636,"converged normally"
"29",278.2349,262,233,0.2345,0.0371,0.0763,0.9284,0.9569,4140.7055,3719.7532,-1626.8766,"converged normally"
"30",291.7703,273,222,0.2078,0.0405,0.0748,0.9276,0.9546,3812.2084,3426.4457,-1491.2229,"converged normally"
"31",307.543,275,220,0.0862,0.0486,0.0699,0.9494,0.968,3950.7593,3530.1142,-1545.0571,"converged normally"
"32",311.1616,280,215,0.097,0.0393,0.0663,0.9285,0.954,6216.7267,5727.2435,-2648.6217,"converged normally"
