"A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
44,2,4,1,1,4,8,1,2,4,2,2,3,7,1,0,5,3,4,3,5,6,4,4,2,6,7,3,10,4
3,44,2,5,5,3,3,2,3,1,4,2,3,1,2,8,0,5,3,4,3,5,4,7,6,3,5,3,4,4
1,2,44,5,2,3,5,3,2,4,4,2,4,2,0,5,7,0,4,3,6,2,4,5,6,10,11,4,3,6
1,3,1,44,4,1,3,3,0,4,1,3,1,2,2,2,1,4,0,8,10,3,2,2,3,5,4,5,4,8
2,1,5,7,44,0,2,2,5,4,4,2,5,2,3,3,3,3,7,0,21,4,3,2,2,4,7,5,3,3
3,4,2,2,3,44,2,2,3,4,2,4,1,1,0,3,7,3,7,12,0,5,5,5,5,6,4,2,8,6
1,1,2,4,2,0,44,8,2,3,2,2,1,1,1,5,2,6,4,4,7,0,6,8,2,5,3,6,6,3
2,3,0,3,5,1,1,44,2,1,3,5,2,2,5,8,4,3,3,4,5,5,0,13,6,6,2,5,9,3
3,0,2,1,1,4,3,2,44,3,4,3,6,2,4,6,4,3,2,5,4,3,11,0,4,5,5,4,3,4
4,3,5,6,1,3,2,3,5,44,3,3,6,2,4,9,6,6,7,5,6,4,2,1,0,15,8,5,3,4
3,3,4,4,2,1,2,3,3,3,44,3,4,3,2,2,5,6,5,5,5,4,9,3,13,0,9,2,3,8
1,4,0,3,4,2,4,2,4,7,5,44,5,2,4,5,6,11,6,2,3,6,6,3,8,23,0,1,4,6
3,5,3,1,1,3,2,2,1,2,2,5,44,3,5,2,5,6,5,3,4,5,1,5,3,3,5,0,4,8
1,4,1,3,2,2,6,3,4,3,3,4,3,44,5,9,6,10,4,11,4,8,7,8,5,4,3,4,0,8
1,3,1,1,5,1,1,4,3,4,2,4,1,3,44,5,7,0,7,3,4,4,4,13,5,0,2,9,7,0
