"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.1281,0,0,0,0,0,0.4364,0,0,0,0,-0.2327,0,0,0,0,0,0,0,0,0,0,0.2719,0,0,0,0,0,0,0,0
"A_Rspct",0,-0.0812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3583,0,0,0,0
"A_Trust",0,0,0.4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2403,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,-0.0936,0.2312,0,0,0,-0.2255,0,0,0,0,-0.321,0,0,0,0,0,0,0,0.2748,0,0,0,0,-0.3393,0,0,0,0
"C_Prdctv",0,0,0,-0.2242,0.0765,0,0,0,0,0,0.312,0,0,0,-0.2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4001,0,0
"C_Rspnbl",0,0,0,0,0.4675,-0.3634,0,0,0,0,0,0,0,0,0,0,0,-1.1123,0,0,0,0,0,1.2494,0,0,-0.854,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.3029,0,0,0,0,0.2613,0,0,0,0,0.2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.086,0,0,0.2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3772,0,0
"E_Scblty",0,0,0,0,0,0,0.3377,0,-0.0439,0,0,0,0,0,0,0,0,-0.4882,0,0,0,0,0.4749,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.2936,0,0,0,0,0,0,0,0,0,0,0,-0.2999,0,0,0,0,0,0,0,0,0.4169
"N_Depr",0,0,-0.5037,0,0,0.2656,0,0,0,0,-0.0203,0,0.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3213,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.0824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSens",-0.3765,0,0,0,0,0.4212,0,0,0,0,0,0,0.0771,0,0,0,0,0,0.2386,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,-0.2971,0,-0.0558,0.3357,0,0,0,0,0,0,0.2885,0,0,0,0,-0.3214,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0.3192,0,0,0,-0.2128,0,0,0,-0.0095,0,0,0,0,0,0,0.2375,0.2877,0,0,0,0,0.2461,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
