"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.1112,0.0941,0,0,0,0,0,0.1175,0.1117,0,0,0.094,0,0,0.0945,0,0,0,0,0,0,0,0.0986,0,0,0,0,0,0,0,0
"A_Rspct",0.1361,0.1317,0,0,0,0,0,0,0,0,0,0,0,0,0.1282,0,0,0,0,0,0,0.1254,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126,0,0,0,0,0
"C_Org",0,0,0,0.1254,0.1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1237,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1289,0,0,0,0,0.1295,0,0,0
"C_Rspnbl",0,0,0,0,0,0.1188,0.123,0,0,0,0,0,0,0,0,0,0,0,0,0.1199,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.1227,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0.1237,0,0,0,0,0,0,0.1262,0
"E_EnerLev",0,0,0,0,0,0,0,0.1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1161,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1366,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.2771,0.2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4293,0,0,0,0,0.2697
"N_Depr",0,0,0,0,0.1126,0,0,0,0,0,0.1097,0,0,0,0,0,0.1048,0,0,0,0,0,0.1062,0,0.1471,0,0,0,0,0,0
"N_EmoVol",0.125,0,0,0,0,0,0,0,0,0,0,0.1235,0,0,0,0,0,0,0,0,0,0,0,0,0.1231,0,0,0,0,0,0
"O_AesSens",0,0.1143,0,0,0,0,0,0,0,0,0,0,0.1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1134,0,0,0.1138,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1146,0,0,0,0,0,0,0.1123,0,0.1156,0,0,0,0,0,0,0,0.1171
"O_IntCur",0,0,0,0,0,0,0,0,0,0.1291,0,0,0,0,0.1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
