"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",0.3065,0,-0.3159,0,0,0,0,0,0,0,0,0,-0.4472,0,0,0,0,0,0,0,0,0,0.5247,0,0,0,0,0,0,0,0
"A_Rspct",0,-0.5876,0,0,0,0,0,0,0,0,0,-0.6673,0,0,0,0.5531,0,-0.9426,0,0,0,0.5558,0,0,0,0,0,0,0,0,0.4719
"A_Trust",0,0,0.1806,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,-0.0586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0.3203,0,0,-0.1502,0,0,0,0,0,0,0,0,-0.2843,0,-0.4753,0,0,0.2462,0,0.5333,0.342,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0.2992,3e-04,0,0,0,0.3516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,-0.3149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,-0.0022,-0.3234,-0.3141,0,0,0,0,0,0,0,0,0,0.6362,0,0,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,-0.3197,0.2809,0,0,0,0,0.1325,0,0,0,0,0,0,0,0,0,0,0,-0.2279,0.3941,0.3029,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,-0.2627,0.3179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2998,0,0,0,0,0
"N_Depr",0,0,0,0,0.364,-0.479,0,0,0,0,0.3047,0,0.2506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,-0.3818,0,0,0.0203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4202,0,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,-0.1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,-0.309,0,0,0,0,0,0,0,0,0.3058,0,0,0,0,0,0,0,0,0.5223,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,-0.2797,0,0,0,0,0,0,-0.0172,0,0,0,0,0,0,0.3555,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
