"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",0.9626,0.3113,0.3413,0.4065,0.2675,0.505,0.5692,0.3797,0.2044,-0.3802,-0.4332,-0.3039,-0.0983,0.2994,0.4995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3113,0.9903,0.3029,0.3235,0.2196,0.464,0.1832,0.2685,-0.1008,-0.1538,-0.1985,-0.1304,0.0555,0.0851,-0.0678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.3413,0.3029,0.9564,0.0836,-0.0106,0.144,0.029,-0.0309,0.0299,-0.0387,-0.2965,-0.0691,0.0937,-0.064,0.2834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.4065,0.3235,0.0836,0.9095,0.4253,0.5012,0.4037,0.4378,-0.0785,-0.3061,-0.0892,-0.0773,-0.2341,0.1413,0.1686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2675,0.2196,-0.0106,0.4253,0.9173,0.3727,0.3925,0.4371,0.2487,-0.4566,-0.2751,-0.3074,-0.1901,-0.0167,-0.0027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.505,0.464,0.144,0.5012,0.3727,0.9932,0.3353,0.4021,0.102,-0.4798,-0.3252,-0.2572,-0.2582,0.0535,0.1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.5692,0.1832,0.029,0.4037,0.3925,0.3353,0.9462,0.4218,0.3362,-0.4161,-0.267,-0.289,-0.1784,0.2545,0.4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3797,0.2685,-0.0309,0.4378,0.4371,0.4021,0.4218,0.9469,0.4903,-0.4905,-0.299,-0.2548,0.1931,0.2056,0.1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.2044,-0.1008,0.0299,-0.0785,0.2487,0.102,0.3362,0.4903,0.978,-0.3878,-0.4207,-0.3036,0.2343,0.075,0.4235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.3802,-0.1538,-0.0387,-0.3061,-0.4566,-0.4798,-0.4161,-0.4905,-0.3878,0.986,0.5199,0.2795,-0.0057,0.064,-0.2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
