"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.0975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1003,0,0,0
"A_Rspct",0,0.2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3057,0,0.6047,0,0.2373,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0.1105,0,0,0,0,0,0,0,0,0,0,0,0.1124,0,0.177,0,0,0,0,0,0,0,0,0,0,0,0.1285,0
"C_Org",0,0,0,0.1198,0,0,0,0,0,0,0,0.1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0.1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1102,0,0,0.1057,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0.0965,0,0,0.0944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0.1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0.1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.1169,0,0,0,0,0,0,0,0.1184,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.0778,0,0,0,0,0,0,0.0874,0,0,0.0784,0,0,0,0.0837,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0.1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1054,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0.1255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1127,0,0,0,0,0,0,0,0,0,0,0,0.1144,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1172,0,0,0,0,0.1187,0,0,0,0,0,0,0,0,0,0
