"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.0086,0.0777,0.1568,-0.0101,0.0387,-0.0827,-0.0851,0.0711,-0.2281,-0.0934,-0.2199,0.0428,0.0829,-0.0647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0086,1,-0.0263,-0.0085,0.1258,0.117,-0.0131,0.0433,0.2007,-0.0699,0.0785,0.114,0.1287,0.0178,-0.1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.0777,-0.0263,1,-0.0188,0.1291,-0.0703,0.1702,-0.0209,-0.0175,-0.0986,-0.158,-0.2361,0.03,0.0819,0.0484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.1568,-0.0085,-0.0188,1,0.1751,0.3335,-0.0852,0.2954,0.1414,-0.2415,-0.0925,-0.014,-0.1612,0.1794,0.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.0101,0.1258,0.1291,0.1751,1,0.3028,0.2082,0.3003,0.0856,-0.2647,-0.3777,-0.2775,-0.0247,0.1991,0.1819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0387,0.117,-0.0703,0.3335,0.3028,1,-0.1048,0.1768,0.2065,-0.2718,-0.1451,-0.1392,-0.0838,0.3888,-0.0841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.0827,-0.0131,0.1702,-0.0852,0.2082,-0.1048,1,-0.0158,0.1288,0.0547,0.0262,-0.1381,0.0021,-0.2539,0.3492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.0851,0.0433,-0.0209,0.2954,0.3003,0.1768,-0.0158,1,0.2319,-0.0051,-0.1288,-0.0803,-0.0092,0.3282,0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.0711,0.2007,-0.0175,0.1414,0.0856,0.2065,0.1288,0.2319,1,-0.2178,-0.2791,-0.1793,0.1028,0.1665,0.0894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2281,-0.0699,-0.0986,-0.2415,-0.2647,-0.2718,0.0547,-0.0051,-0.2178,1,0.4619,0.3988,0.1424,-0.1398,0.0567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
