"A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
44,5,3,4,4,8,3,2,3,4,6,2,5,2,8,0,4,9,3,3,6,3,7,5,6,7,1,1,5,4
1,44,4,5,10,3,3,7,7,2,0,6,6,3,5,9,0,7,4,3,5,4,4,7,4,5,8,4,6,2
4,5,44,4,2,6,1,2,4,4,7,3,4,3,4,10,5,0,3,1,1,4,5,3,6,5,8,0,5,3
3,2,4,44,4,3,3,4,6,6,1,5,6,2,3,4,4,0,0,7,7,4,5,3,4,3,2,3,2,6
4,5,4,0,44,4,2,3,2,2,3,2,1,3,1,5,1,4,8,0,14,5,10,5,2,7,2,2,2,3
7,6,5,3,3,44,5,6,6,6,5,5,5,4,7,12,2,5,11,12,0,4,10,5,5,4,5,2,6,3
5,3,8,6,6,5,44,3,5,5,4,3,3,5,6,7,5,3,4,5,5,0,3,9,0,4,3,2,1,11
5,8,5,2,7,3,3,44,2,5,4,5,5,7,6,1,5,5,6,6,3,6,0,19,4,5,3,3,8,6
4,5,5,5,6,3,8,6,44,5,5,2,7,5,5,3,2,8,3,3,3,13,15,0,6,9,3,4,4,5
2,2,3,4,2,5,5,5,2,44,4,1,1,3,3,3,5,4,1,3,4,2,4,4,0,11,7,1,4,1
6,2,5,3,2,6,4,4,3,4,44,2,4,5,7,3,4,4,3,7,8,2,7,9,15,0,7,3,1,0
6,6,8,6,3,6,6,8,5,5,8,44,7,8,2,6,3,7,7,12,4,5,4,3,11,17,0,5,12,5
7,3,6,6,5,6,3,6,6,3,3,5,44,6,4,6,3,2,4,5,5,1,2,3,4,7,2,0,3,4
3,5,4,4,7,2,1,3,3,4,2,2,4,44,8,4,6,3,1,4,4,4,6,3,5,7,4,5,0,5
3,3,2,1,3,2,2,0,3,3,3,4,3,1,44,4,3,0,5,9,4,5,4,4,1,2,5,3,5,0
