"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.3462,0.0554,-0.1371,-0.4793,-0.0795,0.498,0.2144,0.1809,0.0254,-0.0499,0.2021,0.201,0.1646,0.1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3462,0.9939,0.021,0.1212,-0.0045,-0.1213,0.2717,0.5145,0.5371,-0.0245,0.114,0.1106,0.2252,0.4329,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.0554,0.021,0.9863,0.374,0.0383,-0.1279,0.0122,0.0362,0.0946,0.0068,-0.1802,-0.1261,-0.1353,-0.1111,0.0903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",-0.1371,0.1212,0.374,0.9982,0.0963,-0.4178,0.2146,0.4125,0.1316,-0.1272,-0.0618,0.1156,-0.3128,0.2553,0.2461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.4793,-0.0045,0.0383,0.0963,0.99,0.3348,-0.2707,0.0428,-0.0236,0.0316,0.0233,-0.3821,0.0386,-0.3452,-0.1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0795,-0.1213,-0.1279,-0.4178,0.3348,0.9997,-0.1462,-0.1163,-0.0657,0.1734,-0.0028,-0.3918,0.1116,-0.2248,-0.1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.498,0.2717,0.0122,0.2146,-0.2707,-0.1462,0.9987,0.3157,0.4347,-0.0179,0.0049,0.1909,-0.1461,0.2662,0.2917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.2144,0.5145,0.0362,0.4125,0.0428,-0.1163,0.3157,0.9977,0.4414,0.0716,0.1509,0.0704,0.021,0.461,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1809,0.5371,0.0946,0.1316,-0.0236,-0.0657,0.4347,0.4414,0.9996,-0.0134,0.226,0.2286,0.0554,0.4144,-0.0343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.0254,-0.0245,0.0068,-0.1272,0.0316,0.1734,-0.0179,0.0716,-0.0134,0.9887,0.2811,0.1401,-0.3275,-0.2568,-0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
