"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpn",0.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4842,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0.0995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2827,0,0,0,0,0,0,0,0.5261,0,0,0,0,0,0
"A_Trust",0,0,0.0903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7026,0,0,0,0,0.2754,0,0,0,0,0,0
"C_Org",0,0,0,0.0096,0,0,0,0,0,-0.4009,0,0,0,0,0,0.7268,0,-0.5147,0,0,0,0,-0.3684,0,0,0,0,0,0,0
"C_Prdctv",0.4321,0,0,0,-0.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3549,0,0,0,0,-0.4264,0,0,0
"C_Rspnbl",0,0,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4357,0,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,-0.1554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3091,0.4731,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,-0.2323,0.3533,0,0,0,0,0,0,0,0,0,0.5473,0,0,0,0,0.596,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0.1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2523,0,0,0,0
"N_Anxty",0,0,-0.4697,0,0,0,0,0,0,-0.0897,0,0,0,0,0,0,0,0,-0.219,0.3147,0,0,0,0,0,0.2656,0.3098,-0.3413,-0.3183,0.2939
"N_Depr",0.22,0,0,0,0,0,0,0,0,0.3594,0.0186,0,-0.2567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3245,0
"N_EmoVol",0,0,0,0,0.2528,0,-0.303,0,0,0,0,0.2072,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5713,0,0,0,0
"O_AesSens",0,0,0,0,0,0,0,-0.3072,0,0.3432,0,-0.4104,-0.0723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3386
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.3502,0,0,0,0,0,0,0.3928,0,0,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686,0,0,0,0,0.2962,0,0,0,0,0,0,0,0,0.324,0
