"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.3569,0.3367,0.4798,0.3992,0.496,0.2077,0.345,0.1298,-0.2092,-0.2754,-0.1999,0.0333,0.3707,0.1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.3569,1,0.1943,0.0724,0.264,0.2998,0.4343,0.2969,0.5534,-0.0916,-0.3246,-0.335,-0.1039,0.2736,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.3367,0.1943,1,0.3829,0.079,0.083,0.1943,0.1249,0.1822,-0.2813,-0.163,-0.1898,-0.0872,0.1668,0.1684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.4798,0.0724,0.3829,1,0.2774,0.3567,0.1296,0.3538,-0.1098,-0.3073,-0.3267,-0.2968,-0.1503,0.2927,0.1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3992,0.264,0.079,0.2774,1,0.4944,0.4142,0.3875,0.2391,-0.1002,-0.3981,-0.5058,0.0952,0.202,0.3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.496,0.2998,0.083,0.3567,0.4944,1,0.3109,0.4408,0.2828,-0.3392,-0.4441,-0.4488,-0.0111,0.4656,0.2146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.2077,0.4343,0.1943,0.1296,0.4142,0.3109,1,0.5455,0.654,0.0302,-0.2695,-0.2353,0.0545,0.2359,0.1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.345,0.2969,0.1249,0.3538,0.3875,0.4408,0.5455,1,0.5389,-0.2307,-0.3209,-0.3322,0.0288,0.4014,0.2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1298,0.5534,0.1822,-0.1098,0.2391,0.2828,0.654,0.5389,1,-0.1082,-0.2646,-0.2487,-0.125,0.2207,0.0935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2092,-0.0916,-0.2813,-0.3073,-0.1002,-0.3392,0.0302,-0.2307,-0.1082,1,0.3822,0.437,-0.1371,-0.4271,-0.0318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2754,-0.3246,-0.163,-0.3267,-0.3981,-0.4441,-0.2695,-0.3209,-0.2646,0.3822,1,0.632,0.1775,-0.4232,-0.2296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1999,-0.335,-0.1898,-0.2968,-0.5058,-0.4488,-0.2353,-0.3322,-0.2487,0.437,0.632,1,0.0443,-0.3194,-0.2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.0333,-0.1039,-0.0872,-0.1503,0.0952,-0.0111,0.0545,0.0288,-0.125,-0.1371,0.1775,0.0443,1,0.0591,0.3038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.3707,0.2736,0.1668,0.2927,0.202,0.4656,0.2359,0.4014,0.2207,-0.4271,-0.4232,-0.3194,0.0591,1,0.4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",0.1759,0.0164,0.1684,0.1294,0.3515,0.2146,0.1995,0.2203,0.0935,-0.0318,-0.2296,-0.2356,0.3038,0.4001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6021,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8991,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3265,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4795,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7653,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5157,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4971,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9173,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3307,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6145,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5124,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6804,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7322
