"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",1,0.0036,0.1546,-0.0472,0.1573,-0.1709,-0.1054,-0.0639,-0.1209,0.0922,0.1179,0.2514,0.1043,0.1398,-8e-04,-0.0279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0036,1,0.306,0.2462,0.2225,0.0963,0.2093,0.0503,0.1783,0.0795,0.2315,0.1229,-0.1832,-0.007,0.2571,-0.0567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1546,0.306,1,0.1095,0.0065,0.0276,0.0193,-0.085,0.1893,0.0514,-0.0761,-0.1045,-0.2286,-0.0065,0.2942,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",-0.0472,0.2462,0.1095,1,0.0728,-0.0417,-0.1446,-0.1527,0.2558,-0.0123,-0.1912,-0.2793,-0.4241,0.0056,0.1641,-0.0626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.1573,0.2225,0.0065,0.0728,1,0.3884,0.3457,0.079,0.1468,-0.1449,0.1179,-0.034,-0.155,-0.1199,0.1306,0.1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.1709,0.0963,0.0276,-0.0417,0.3884,1,0.5623,0.2674,0.3531,0.3652,3e-04,-0.1398,-0.1056,-0.2911,0.0776,0.3927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.1054,0.2093,0.0193,-0.1446,0.3457,0.5623,1,0.2861,0.2149,0.2465,0.3038,-0.1091,0.0267,-0.0746,0.2379,0.1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.0639,0.0503,-0.085,-0.1527,0.079,0.2674,0.2861,1,0.1924,0.3019,0.1729,0.0168,-0.0079,0.0478,0.2778,0.2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",-0.1209,0.1783,0.1893,0.2558,0.1468,0.3531,0.2149,0.1924,1,0.5563,0.1803,-0.1831,-0.344,-0.2203,0.4399,0.5405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.0922,0.0795,0.0514,-0.0123,-0.1449,0.3652,0.2465,0.3019,0.5563,1,0.1672,-0.0323,-0.1403,-0.1682,0.3245,0.5116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.1179,0.2315,-0.0761,-0.1912,0.1179,3e-04,0.3038,0.1729,0.1803,0.1672,1,0.3746,0.2709,0.0727,0.3715,0.1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.2514,0.1229,-0.1045,-0.2793,-0.034,-0.1398,-0.1091,0.0168,-0.1831,-0.0323,0.3746,1,0.4219,0.0221,0.0859,-0.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1043,-0.1832,-0.2286,-0.4241,-0.155,-0.1056,0.0267,-0.0079,-0.344,-0.1403,0.2709,0.4219,1,0.1061,-0.2532,-0.1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.1398,-0.007,-0.0065,0.0056,-0.1199,-0.2911,-0.0746,0.0478,-0.2203,-0.1682,0.0727,0.0221,0.1061,1,0.0838,-0.0825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",-8e-04,0.2571,0.2942,0.1641,0.1306,0.0776,0.2379,0.2778,0.4399,0.3245,0.3715,0.0859,-0.2532,0.0838,1,0.1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",-0.0279,-0.0567,0.03,-0.0626,0.1615,0.3927,0.1471,0.2772,0.5405,0.5116,0.1102,-0.1642,-0.1131,-0.0825,0.1494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8828,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7762,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8293,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5132,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7872,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8674,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2026,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5755,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6447,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6399,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6576,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0,0
