"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",-0.5009,0,0,0,0,0,0,0,0,0,0.2352,0,0,0.4103,0,0,0,0,0,0.02,0,0,0.1643,0,0,0,0,0.3008,0,0,0
"A_Rspct",0,0.1864,0,0,1.1882,0,0,0,0,0,0,1.0904,0,-0.3958,0.4,0,0,0,0,0,-0.368,0.4342,0,0,0,0.1465,0,0.24,0.0127,-1.5368,-0.6101
"A_Trust",-0.4097,0,0.1127,0,0,0.2077,0,-0.1863,1.1508,0,0.2155,0,0,-0.0494,0,0,0,0,1.4195,-0.4837,-0.265,0,0,0,0,-0.4938,-0.2827,0,0.7637,-1.6262,0.6928
"C_Org",0,0,0,-0.4446,0,-1.7919,0,0,-0.1998,0,0,0,0,0,0,1.5426,0.9231,-3.4902,0,0.7345,0,-0.2513,0.7567,0,0,0,0,0,0,0,0
"C_Prdctv",0.2435,0.2992,-0.2448,-0.6835,1.6307,-0.4958,0.6001,1.6288,-1.2313,0,0.0012,0.9114,-0.5289,-0.4384,0.6083,0.1207,-0.6681,0.9758,-1.1099,0,-0.3766,0.9143,0.405,0.4262,-0.0699,0.6103,0.7941,0.5924,-0.9095,0,-1.7811
"C_Rspnbl",0,-0.1491,0,0,0.5465,0.0083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3708,0.2688,0,0,0,0,0,0,0,0
"E_Assert",0.2753,0,-0.4769,0,0,0,0.3734,0.1469,-0.2272,0.286,0,0,0,-0.1241,0,0.1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2544,0
"E_EnerLev",0,0.1157,0,0,0,0,0,0.0756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5835,0,0,0,0.3443,0,0,0.2396
"E_Scblty",0,0,0,-0.2353,0,0,0,0,-0.071,0,0,0,0,0,0.5558,0,0.2088,0,0,-0.5051,0.3188,0,0,0,-0.1453,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0.3821,0,0,-0.1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6328,0,0,0,0,0
"N_Depr",0,0,0,-0.2697,0,0,0,-0.2282,0,0,0.3014,0,0,0,0,0,0,0,-0.3985,0,-0.1151,-0.3357,0,0,0,0,0.2256,0,0,0,0.1812
"N_EmoVol",0,0,-0.6833,0.4246,0,0.1004,0,-0.3426,0,0,0,-0.5142,0,-0.2813,0,-0.11,0,-0.3151,0,0.2601,-0.1292,-0.2853,0,0,0,0,0,-0.1483,0,0,0
"O_AesSens",0,-0.3226,0,0.4013,0.3231,0,-0.1514,0,0.2485,0,0,0,0.0364,-0.4274,0,0,0,0,0,-0.5775,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",-0.432,-0.2125,0,0,0.4409,0,0,0,0,0,0.2838,0,0.5929,0.0794,0,-0.4402,0,0,0.5129,0.1273,-0.2598,0,0.1227,0.2096,-0.251,0,0,0,0,0,-0.4768
"O_IntCur",0,0,0,0.1952,0.6132,-0.1399,-0.1208,0,0.1603,0,-0.0863,0.8225,-0.1618,0,-0.0153,0,0,0,-0.1263,-0.0612,-0.22,0.2816,0,0,0.0883,0,0.2606,0,0,0,0.0687
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
