"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
"A_Cmpn",7.3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.902,0,20.4232,0,4.4836,0,0,0,0,0,0,0,2.9596,0,0
"A_Rspct",0.0087,0.008,0,0,0,0.0076,0.0094,0.0098,0.0089,0.0113,0,0.0055,0.007,0.012,0.0063,0.0063,0,0,0.0069,0.0083,0.008,0,0.0057,0,0,0.0096,0,0.0075,0,0,0
"A_Trust",0,0,0.1584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1522
"C_Org",0,0,0,0.1737,0.1433,0,0.1215,0,0.1116,0,0,0.1016,0,0,0.103,0.2014,0,0,0,0,0.1199,0,0,0.1139,0,0,0,0,0,0.1269,0
"C_Prdctv",0.1131,0,0,0,0.1155,0.1248,0,0,0,0,0,0,0.1118,0.1257,0,0,0,0,0,0,0.1035,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0.1318,0,0,0,0.1446,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1163,0,0,0,0,0,0,0.1336
"E_Assert",0,0,0,0,0,0,0.2723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6066,0,0,0,0,0,0
"E_EnerLev",0,0,0.1407,0,0,0,0,0.1559,0,0,0,0,0,0,0.1332,0,0.1393,0,0,0,0,0,0,0,0,0,0.1434,0,0,0.1228,0
"E_Scblty",0,0.1203,0,0.1573,0,0,0,0,0.1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1156,0,0,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0.2769,0,0.2405,0,0,0,0.1787,0,0,0,0.1528,0.1951,0.2412,0,0,0,0,0.2256,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0.1427,0,0,0,0,0.1299,0,0,0,0,0.1264,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0.0704,0,0,0,0.0957,0,0.0699,0,0,0,0,0.0627,0.0696,0.0678,0,0,0.1062,0,0,0.0705,0,0.0725,0.0693,0,0,0.0673,0,0.0895,0,0,0
"O_AesSens",0,0,0,0,0.1156,0,0,0,0,0,0,0,0.1414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1366,0,0.1287,0,0,0,0,0,0,0,0.1155,0,0,0,0,0,0,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1523
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
