"A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
44,7,3,4,5,6,3,4,5,6,3,0,6,1,7,0,5,9,1,4,9,3,7,5,2,5,2,2,7,5,4
2,44,7,6,6,4,5,7,4,3,2,6,9,3,4,11,0,8,6,5,3,2,7,9,1,5,7,3,5,2,9
2,6,44,6,3,6,1,5,6,6,9,7,5,4,7,11,5,0,2,4,3,4,4,2,7,4,8,2,10,6,6
3,2,5,44,7,4,4,5,5,7,1,2,4,1,4,6,4,2,0,10,7,1,8,3,2,3,1,3,1,8,5
2,7,3,2,44,4,5,3,3,4,2,1,5,3,0,3,5,4,11,0,15,4,11,3,3,9,6,2,3,4,4
5,4,6,4,1,44,4,8,7,7,4,4,4,4,6,7,3,7,10,12,0,5,6,4,6,3,3,3,3,3,6
6,3,11,5,6,5,44,4,5,4,2,3,6,3,6,6,5,4,4,5,7,0,3,8,1,6,2,1,2,9,4
3,5,7,6,6,2,5,44,3,5,2,6,7,6,7,2,4,7,6,11,4,3,0,19,7,5,5,6,5,9,6
3,5,5,6,6,5,6,5,44,4,3,3,7,4,4,2,3,7,4,2,3,16,15,0,7,8,4,6,6,5,1
1,3,4,6,3,5,2,3,5,44,3,2,2,1,2,1,7,3,1,4,5,2,5,3,0,16,10,2,7,2,4
8,5,6,5,3,6,1,1,2,5,44,0,7,6,5,3,5,6,4,8,7,7,6,5,12,0,8,3,4,0,8
5,6,6,6,4,5,6,5,2,3,4,44,6,5,4,8,6,6,4,6,5,3,3,5,9,18,0,8,5,8,6
7,5,4,7,5,4,2,5,6,5,2,5,44,6,3,4,3,5,4,5,5,1,0,0,4,4,3,0,3,4,3
5,4,5,5,7,4,3,2,3,4,2,5,5,44,9,4,6,3,3,3,8,2,7,5,5,8,7,8,0,7,9
3,3,4,2,4,1,4,3,4,3,4,3,4,1,44,1,4,1,3,6,4,5,6,4,0,2,7,2,5,0,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
