"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
45,0,1,0,1,0,1,2,3,0,9,3,3,5,3,4,7,5,2
3,45,1,3,1,0,2,1,1,14,0,8,2,7,7,3,3,4,4
0,0,45,0,1,3,0,2,3,7,6,0,5,5,2,4,3,3,3
2,4,2,45,5,0,2,1,1,3,5,11,0,3,2,2,5,3,3
4,1,3,3,45,5,2,2,1,4,9,5,4,0,14,8,4,6,5
1,1,1,0,4,45,6,1,3,2,2,5,4,10,0,8,3,3,6
3,1,0,2,4,4,45,1,2,5,7,3,5,19,6,0,0,3,2
3,3,2,1,1,0,3,45,0,2,3,3,1,4,4,7,0,18,1
1,2,3,3,1,3,3,1,45,1,4,1,5,5,3,3,13,0,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
