"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9885,0.5425,0.3106,0.0547,-0.0375,-0.0734,-0.1008,0.3805,0.312,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5425,0.9961,0.3716,-0.1333,-0.1971,-0.0589,-0.0596,0.3127,0.1205,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.3106,0.3716,0.9825,0.1255,-0.1157,-0.0779,0.0147,0.0372,0.042,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0547,-0.1333,0.1255,0.9913,-0.1408,-0.0695,-0.0383,0.0839,0.0011,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0375,-0.1971,-0.1157,-0.1408,0.997,0.548,0.4362,-0.2223,-0.1184,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.0734,-0.0589,-0.0779,-0.0695,0.548,0.9916,0.4699,-0.0722,-0.1722,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1008,-0.0596,0.0147,-0.0383,0.4362,0.4699,0.9988,-0.3179,-0.345,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.3805,0.3127,0.0372,0.0839,-0.2223,-0.0722,-0.3179,0.9989,0.5007,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.312,0.1205,0.042,0.0011,-0.1184,-0.1722,-0.345,0.5007,0.9768,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.8767,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,3.053,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.9345,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.9865,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.6731,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9695,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7629,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7298,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8654
