"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",100.7502,103,86,0.5443,0,0.0853,1.0299,1,3388.0211,3203.7115,-1515.8557,"converged normally"
"02",109.5661,100,89,0.2411,0.0387,0.1005,0.9592,0.9733,3225.8894,3033.7488,-1427.8744,"converged normally"
"03",106.4046,103,86,0.3894,0.0235,0.0908,0.9301,0.953,3279.3554,3099.2418,-1463.6209,"converged normally"
"04",96.8095,91,98,0.3188,0.0369,0.0808,0.9276,0.9569,2562.2131,2380.8986,-1092.4493,"converged normally"
"05",99.9849,96,93,0.3701,0.0322,0.0906,0.9221,0.9511,2234.3526,2077.2868,-945.6434,"converged normally"
"06",104.2034,96,93,0.2664,0.0405,0.0865,0.9356,0.9596,2750.1847,2568.719,-1191.3595,"converged normally"
"07",102.1444,98,91,0.3671,0.0334,0.0953,0.9557,0.9716,2019.027,1870.0067,-844.0033,"converged normally"
"08",102.0315,96,93,0.3176,0.0378,0.0893,0.9482,0.9675,2348.6966,2182.7669,-998.3835,"converged normally"
"09",102.6775,97,92,0.3272,0.0326,0.0842,0.9434,0.9641,2948.23,2763.5554,-1289.7777,"converged normally"
"10",102.3157,102,87,0.4726,0.0082,0.0943,0.9884,0.9923,2577.8715,2418.7797,-1122.3899,"converged normally"
"11",102.4937,92,97,0.2134,0.0487,0.0817,0.9216,0.9529,2537.043,2355.5365,-1080.7682,"converged normally"
"13",105.9512,99,90,0.298,0.0354,0.0952,0.9268,0.9526,3008.0154,2825.7337,-1322.8669,"converged normally"
"14",87.4035,84,105,0.3781,0.0403,0.0815,0.964,0.9803,1370.9795,1242.9975,-516.4988,"converged normally"
"16",109.7707,102,87,0.2819,0.0288,0.0864,0.9328,0.9552,4857.7801,4638.3845,-2232.1922,"converged normally"
"17",102.8462,95,94,0.2735,0.0424,0.0798,0.9485,0.9681,2387.773,2215.8808,-1013.9404,"converged normally"
