"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.2838,0,0,0,0,0,0,0,0,0,0,0,0,-0.9523,0,0,0,0,0.419
"E_EnerLev",0,0.0297,0,0,0,0,0,0,0,0.5666,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0.0734,0,0,0,0,0,0,0,0,0,0,0,0,-0.3921,0,0,0
"A_Rspct",0,0,0,0.0682,0,0,0,0.3053,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.2325,0,0,0,0,0.856,0,0,0,0,0,0.802,0,0,0
"N_Anxty",0,0,0,0,0,0.2415,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0.4439,0,0,0,0,0,0,0,0.3416,0,0,-0.2853,0
"C_Prdctv",0,0,0,0,0,0,0,0.101,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0.1397,0,0,0,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
