"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.5243,0.0089,0.1964,-0.5322,-0.5409,-0.426,0.0793,-0.0451,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5243,1,0.2471,0.4362,-0.6752,-0.4942,-0.4788,0.1856,0.196,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0089,0.2471,1,0.4332,-0.2688,-0.069,-0.3431,0.0784,0.2088,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1964,0.4362,0.4332,1,-0.4159,-0.1441,-0.334,0.1145,0.201,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.5322,-0.6752,-0.2688,-0.4159,1,0.6791,0.6539,-0.455,-0.236,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.5409,-0.4942,-0.069,-0.1441,0.6791,1,0.5713,-0.2721,-0.1335,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.426,-0.4788,-0.3431,-0.334,0.6539,0.5713,1,-0.2326,-0.1082,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0793,0.1856,0.0784,0.1145,-0.455,-0.2721,-0.2326,1,0.38,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.0451,0.196,0.2088,0.201,-0.236,-0.1335,-0.1082,0.38,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9724,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6631,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8225,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.7683,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5342,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5252,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5663,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7643,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8554
