"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",101.8872,97,92,0.3472,0.0297,0.0903,0.9248,0.9523,3107.4084,2919.4477,-1367.7238,"converged normally"
"02",102.7433,97,92,0.3256,0.038,0.0888,0.9448,0.965,2208.0066,2050.3579,-933.179,"converged normally"
"03",104.4164,99,90,0.3353,0.0324,0.0993,0.9482,0.9665,2793.0376,2617.4257,-1218.7128,"converged normally"
"04",107.0376,99,90,0.2731,0.0391,0.0967,0.9301,0.9548,2827.8312,2650.5049,-1235.2525,"converged normally"
"05",106.8782,101,88,0.3254,0.0356,0.0962,0.9335,0.9561,2498.9651,2338.0447,-1081.0223,"converged normally"
"06",103.5647,99,90,0.3569,0.028,0.0906,0.9641,0.9768,3095.6266,2908.6482,-1364.3241,"converged normally"
"07",99.9199,97,92,0.3992,0.022,0.0856,0.9397,0.9618,3401.6437,3205.9473,-1510.9737,"converged normally"
"08",101.875,95,94,0.2962,0.0373,0.0869,0.9357,0.9601,2779.7438,2596.3269,-1204.1635,"converged normally"
"09",99.6892,97,92,0.4055,0.024,0.102,0.9616,0.9757,2634.8753,2462.7248,-1139.3624,"converged normally"
"10",98.2972,97,92,0.4441,0.0178,0.0958,0.9765,0.9851,2294.3332,2134.4676,-975.2338,"converged normally"
"11",101.9497,99,90,0.3994,0.0284,0.1125,0.9742,0.9833,1960.716,1815.7334,-817.8667,"converged normally"
"13",98.5679,92,97,0.3008,0.0452,0.0994,0.9569,0.9741,1802.6954,1651.8266,-728.9133,"converged normally"
"14",101.0986,95,94,0.3151,0.0366,0.0896,0.9215,0.9513,2619.7707,2443.8778,-1127.9389,"converged normally"
"16",98.2686,96,93,0.4166,0.0217,0.092,0.9699,0.9811,2712.9604,2535.1422,-1174.5711,"converged normally"
"17",100.1055,96,93,0.3669,0.0355,0.1025,0.9404,0.9626,1885.6894,1743.7379,-778.8689,"converged normally"
"18",104.5607,101,88,0.3842,0.0258,0.0936,0.9621,0.975,2848.9907,2675.605,-1249.8025,"converged normally"
"19",90.5286,86,103,0.3482,0.0442,0.081,0.9472,0.9703,1489.7765,1356.3053,-575.1526,"converged normally"
"21",105.8053,97,92,0.2541,0.0426,0.1092,0.942,0.9632,2613.2013,2437.2952,-1126.6476,"converged normally"
"22",116.7708,102,87,0.1505,0.0483,0.1154,0.944,0.9627,3080.2778,2895.2171,-1360.6086,"converged normally"
"23",101.6956,95,94,0.3005,0.041,0.0855,0.9274,0.9549,2284.2083,2120.8674,-966.4337,"converged normally"
"24",110.603,98,91,0.181,0.0484,0.0877,0.9233,0.9509,2859.2918,2676.6244,-1247.3122,"converged normally"
"25",105.4646,99,90,0.3096,0.0415,0.093,0.9291,0.9541,2064.9891,1917.6063,-868.8032,"converged normally"
"26",105.7719,100,89,0.3273,0.0315,0.0877,0.9259,0.9516,3132.1624,2948.783,-1385.3915,"converged normally"
"27",109.8363,103,86,0.3042,0.0357,0.098,0.9295,0.9526,2791.4419,2623.635,-1225.8175,"converged normally"
"28",100.9811,96,93,0.3441,0.0332,0.0843,0.9509,0.9692,2530.1186,2358.0549,-1086.0274,"converged normally"
"29",105.2348,103,86,0.4204,0.0213,0.0954,0.9704,0.9801,2593.3561,2432.4328,-1130.2164,"converged normally"
"30",103.985,95,94,0.2481,0.0444,0.0826,0.9243,0.953,2557.9936,2382.1007,-1097.0503,"converged normally"
"31",106.2829,100,89,0.3148,0.0354,0.0991,0.9658,0.9777,2565.5448,2395.3748,-1108.6874,"converged normally"
"32",98.4412,88,101,0.2096,0.0456,0.0712,0.9491,0.9707,2847.3378,2640.9896,-1219.4948,"converged normally"
"33",103.6375,101,88,0.4087,0.0209,0.1015,0.9822,0.9883,3138.383,2954.0807,-1389.0403,"converged normally"
"34",98.103,97,92,0.4496,0.0138,0.0739,0.9812,0.9881,3283.492,3090.8123,-1453.4062,"converged normally"
"35",105.4756,107,82,0.5235,0,0.0898,1.1665,1,3296.7075,3124.9712,-1480.4856,"converged normally"
"36",103.3751,97,92,0.3101,0.046,0.1044,0.9402,0.9621,1654.6469,1522.72,-669.36,"converged normally"
"37",104.3231,99,90,0.3376,0.031,0.0912,0.9266,0.9525,3051.8552,2869.5735,-1344.7868,"converged normally"
"38",105.4693,100,89,0.3347,0.0401,0.1159,0.9419,0.962,1827.3724,1691.5264,-756.7632,"converged normally"
"39",106.7122,101,88,0.3295,0.0324,0.0938,0.9564,0.9712,2846.8963,2671.8658,-1247.9329,"converged normally"
"40",103.607,102,87,0.437,0.0176,0.0937,0.9766,0.9844,2791.9401,2623.8713,-1224.9356,"converged normally"
"41",83.0935,80,109,0.3844,0.0393,0.0923,0.9598,0.979,1397.2586,1264.4012,-523.2006,"converged normally"
"42",100.7535,97,92,0.3768,0.0319,0.0895,0.9554,0.9717,2072.3307,1921.6728,-868.8364,"converged normally"
"43",102.8084,97,92,0.324,0.044,0.1126,0.9399,0.9619,1662.7498,1530.823,-673.4115,"converged normally"
"44",105.2206,106,83,0.5031,0,0.0848,1.0324,1,3303.0473,3129.2167,-1481.6083,"converged normally"
