"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",0.9974,0.601,-0.2015,-0.3713,-0.06,-0.2444,-0.2573,0.2344,-0.045,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.601,0.9964,-0.2986,-0.2263,0.4466,-0.4046,-0.095,0.1117,0.0457,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",-0.2015,-0.2986,0.9813,0.5026,-0.176,0.0589,0.0526,-0.1387,0.2601,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.3713,-0.2263,0.5026,0.9995,0.1375,0.0437,0.4597,-0.2046,0.4005,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.06,0.4466,-0.176,0.1375,0.9763,-0.1366,0.2951,-0.3118,0.1541,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.2444,-0.4046,0.0589,0.0437,-0.1366,0.9959,-0.1446,0.0017,-0.0343,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.2573,-0.095,0.0526,0.4597,0.2951,-0.1446,1,-0.2473,0.2113,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.2344,0.1117,-0.1387,-0.2046,-0.3118,0.0017,-0.2473,0.968,0.4872,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",-0.045,0.0457,0.2601,0.4005,0.1541,-0.0343,0.2113,0.4872,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9789,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.3384,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.7052,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.2961,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8088,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6807,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9806,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4283
