"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl"
"E_Scbltylag",1,0.5524,0.1658,-0.1392,-0.0462,0.1982,0.1377,0.1464,0.2999,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.5524,1,0.1215,-0.0035,-0.1552,0.0606,0.2184,0.1837,-0.0502,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.1658,0.1215,1,0.4195,-0.2984,-0.3226,-0.2711,-0.0897,0.1908,0,0,0,0,0,0,0,0,0
"A_Rspctlag",-0.1392,-0.0035,0.4195,1,-0.3645,-0.3107,-0.5889,0.1267,-0.0074,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.0462,-0.1552,-0.2984,-0.3645,1,0.2665,0.4699,-0.5996,-0.047,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.1982,0.0606,-0.3226,-0.3107,0.2665,1,0.4796,0.1747,-0.169,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.1377,0.2184,-0.2711,-0.5889,0.4699,0.4796,1,-0.2068,-0.3359,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1464,0.1837,-0.0897,0.1267,-0.5996,0.1747,-0.2068,1,-0.0408,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2999,-0.0502,0.1908,-0.0074,-0.047,-0.169,-0.3359,-0.0408,1,0,0,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0.9919,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0.6843,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0.8297,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0.5688,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0.8833,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7699,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5833,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5081,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9954
