"","E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
"E_Scblty",-0.1725,0,0,0,0,0,0,0,0,0,0.4913,0,0,0,0,0,0,0,0
"E_EnerLev",0,-0.2559,0,0,0,0,0,0,0,0,0,0,0,-0.341,0,0,-0.3352,0.5598,0
"A_Cmpn",0,0,-0.2084,0,0,0,0,0,0,0,0,0,0.3907,0,0,0,0,0,0
"A_Rspct",0,0,0,0.1148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Depr",0,0,0,0,-0.1229,0,0,0,0,0,0,0,0,0,0.4429,0,0,0,0
"N_Anxty",0,0,0,0,0,0.5379,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,-0.0154,0,0,0,0,-0.3628,0,0.3302,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0.0824,0,0,0,0,0,-0.3017,0,0,0,0,0
"C_Rspnbl",0,0,0.2768,0,0,0,0,0,0.2079,0,0,0.4033,0,0,0,0,0,0,0
"cumsumT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
