"file","chisq","df","npar","pvalue","rmsea","srmr","nnfi","cfi","bic","aic","logl","status"
"01",109.4807,105,104,0.3629,0.0274,0.0873,0.9299,0.957,3302.7516,3090.2743,-1441.1372,"converged normally"
"02",111.3857,105,104,0.3164,0.0385,0.086,0.9421,0.9644,2341.5982,2163.3867,-977.6933,"converged normally"
"03",109.6112,106,103,0.3856,0.0258,0.0866,0.9648,0.9782,2916.276,2717.2979,-1255.649,"converged normally"
"04",108.7602,107,102,0.4344,0.0191,0.0969,0.9732,0.9832,2638.093,2453.8134,-1124.9067,"converged normally"
"05",115.155,108,101,0.301,0.038,0.0921,0.9248,0.9525,2650.4076,2465.7148,-1131.8574,"converged normally"
"06",114.9814,107,102,0.2817,0.0356,0.0912,0.9388,0.9617,3291.0669,3079.1581,-1437.579,"converged normally"
"07",105.6159,102,107,0.3833,0.0241,0.0789,0.938,0.963,3549.2228,3323.3593,-1554.6796,"converged normally"
"08",110.1631,105,104,0.3459,0.0311,0.0848,0.9512,0.97,2898.8098,2697.9,-1244.95,"converged normally"
"09",108.6472,107,102,0.4374,0.0179,0.0988,0.974,0.9837,2806.6982,2615.8357,-1205.9178,"converged normally"
"10",107.4534,106,103,0.4423,0.0183,0.0984,0.971,0.982,2394.1264,2217.6285,-1005.8143,"converged normally"
"11",113.3719,104,105,0.2491,0.0494,0.0959,0.9341,0.9599,2054.4182,1885.2718,-837.6359,"converged normally"
"13",106.9318,100,109,0.2994,0.0445,0.0964,0.9567,0.9747,1911.9308,1742.3979,-762.1989,"converged normally"
"14",104.645,101,108,0.382,0.028,0.0834,0.9562,0.9741,2665.1175,2467.6242,-1125.8121,"converged normally"
"16",109.2253,106,103,0.3955,0.0254,0.1014,0.948,0.9678,2733.055,2542.4898,-1168.2449,"converged normally"
"17",105.7486,99,110,0.3028,0.0469,0.0865,0.9221,0.9549,1815.2965,1657.5579,-718.779,"converged normally"
"18",111.0289,106,103,0.3499,0.0311,0.09,0.9558,0.9726,2779.487,2584.6295,-1189.3147,"converged normally"
"19",101.6579,96,113,0.3269,0.0467,0.0875,0.9324,0.9621,1594.2239,1447.7944,-610.8972,"converged normally"
"21",116.3123,105,104,0.2119,0.0469,0.0961,0.926,0.9545,2726.4392,2529.6899,-1160.845,"converged normally"
"22",120.0204,110,99,0.2417,0.0393,0.1025,0.9615,0.9752,3111.7958,2906.1196,-1354.0598,"converged normally"
"23",111.2896,104,105,0.2946,0.0409,0.0892,0.9382,0.9624,2388.0472,2205.5919,-997.796,"converged normally"
"24",118.0981,106,103,0.1986,0.0488,0.097,0.9237,0.9527,2660.5951,2467.8614,-1130.9307,"converged normally"
"25",111.9455,105,104,0.3033,0.0417,0.0892,0.9277,0.9556,2194.411,2024.102,-908.051,"converged normally"
"26",111.8491,108,101,0.3805,0.0257,0.089,0.9495,0.9681,3107.0154,2906.128,-1352.064,"converged normally"
"27",113.1356,107,102,0.3238,0.0346,0.08,0.9545,0.9716,2689.3284,2498.4659,-1147.233,"converged normally"
"28",110.8277,106,103,0.3548,0.0311,0.0843,0.9489,0.9683,2700.0044,2509.4392,-1151.7196,"converged normally"
"29",114.4769,111,98,0.3914,0.0255,0.0948,0.9578,0.9726,2749.2021,2565.8244,-1184.9122,"converged normally"
"30",111.1126,105,104,0.3229,0.0356,0.0893,0.9437,0.9654,2620.5427,2430.364,-1111.182,"converged normally"
"31",121.2786,110,99,0.2176,0.0467,0.1032,0.9351,0.9582,2584.0386,2400.8739,-1101.437,"converged normally"
"32",156.1761,105,104,9e-04,0.0925,0.0983,0.7842,0.8675,3028.5524,2816.0751,-1304.0375,"converged normally"
"33",113.8512,109,100,0.3561,0.0275,0.1027,0.968,0.9796,3278.4072,3070.6535,-1435.3267,"converged normally"
"34",111.6674,112,97,0.4911,0,0.0892,1.0068,1,3373.8973,3174.0343,-1490.0172,"converged normally"
"35",115.4323,115,94,0.4711,0.0079,0.0881,0.9736,0.9823,3493.7217,3296.8533,-1554.4267,"converged normally"
"36",99.5229,94,115,0.3287,0.0485,0.0972,0.9526,0.9739,1401.5653,1261.3946,-515.6973,"converged normally"
"37",110.4775,106,103,0.3636,0.0275,0.0901,0.9408,0.9633,3238.2436,3029.6324,-1411.8162,"converged normally"
"38",117.9362,110,99,0.2852,0.0461,0.1225,0.9271,0.9531,1926.2672,1775.1575,-788.5787,"converged normally"
"39",119.8997,110,99,0.2441,0.0412,0.0932,0.9232,0.9506,2979.3292,2784.2703,-1293.1352,"converged normally"
"40",114.9343,110,99,0.3547,0.03,0.0922,0.9318,0.9561,2907.5539,2718.2636,-1260.1318,"converged normally"
"41",90.4678,87,122,0.3783,0.0399,0.0854,0.9559,0.9775,1490.5447,1341.8419,-548.9209,"converged normally"
"42",108.5047,103,106,0.3361,0.0375,0.0836,0.9415,0.9648,2194.7678,2021.1837,-904.5918,"converged normally"
"43",112.252,106,103,0.3203,0.0443,0.1075,0.9396,0.9626,1706.8958,1562.5725,-678.2863,"converged normally"
"44",112.8869,112,97,0.4587,0.0115,0.078,0.9816,0.9879,3478.5956,3275.4442,-1540.7221,"converged normally"
"46",107.4056,104,105,0.3898,0.024,0.0803,0.9585,0.9747,3282.7843,3068.2639,-1429.132,"converged normally"
"49",1493.5606,99,110,0,1.0409,0.1081,-0.4918,0.1363,680.1229,617.9785,-198.9892,"converged normally"
"50",106.5519,100,109,0.3084,0.0415,0.0828,0.9534,0.9727,2125.5187,1947.0218,-864.5109,"converged normally"
"51",111.1724,110,99,0.4508,0.0132,0.086,0.9737,0.9831,3536.8471,3327.8706,-1564.9353,"converged normally"
