"lhs","op","rhs","count.group","count.ind"
"A_Cmpn","~","A_Cmpnlag",45,0
"A_Rspct","~","A_Rspctlag",45,0
"C_Prdctv","~","C_Prdctvlag",45,0
"C_Rspnbl","~","C_Rspnbllag",45,0
"E_EnerLev","~","E_EnerLevlag",45,0
"E_Scblty","~","E_Scbltylag",45,0
"N_Anxty","~","N_Anxtylag",45,0
"N_Depr","~","N_Deprlag",45,0
"N_EmoVol","~","N_EmoVollag",45,0
"N_EmoVol","~","N_Depr",0,17
"N_Anxty","~","N_Depr",0,16
"E_EnerLev","~","E_Scblty",0,15
"C_Prdctv","~","C_Rspnbl",0,13
"E_Scblty","~","E_EnerLev",0,12
"N_Depr","~","N_Anxty",0,12
"E_EnerLev","~","C_Prdctv",0,11
"C_Rspnbl","~","C_Prdctv",0,9
"C_Prdctv","~","E_EnerLev",0,8
"A_Rspct","~","A_Cmpn",0,7
"A_Rspct","~","C_Prdctvlag",0,7
"A_Cmpn","~","E_Scblty",0,7
"C_Prdctv","~","N_Depr",0,7
"E_EnerLev","~","N_Depr",0,7
"E_Scblty","~","N_Depr",0,7
"N_Anxty","~","N_EmoVol",0,7
"C_Rspnbl","~","A_Cmpn",0,6
"A_Cmpn","~","A_Rspct",0,6
"C_Prdctv","~","A_Rspctlag",0,6
"N_Anxty","~","C_Rspnbl",0,6
"N_Depr","~","C_Rspnbl",0,6
"N_Depr","~","cumsumT",0,6
"C_Rspnbl","~","E_EnerLev",0,6
"N_Depr","~","E_EnerLev",0,6
"A_Rspct","~","E_Scblty",0,6
"C_Rspnbl","~","N_Anxtylag",0,6
"A_Rspct","~","N_EmoVol",0,6
"N_Depr","~","N_EmoVol",0,6
"C_Prdctv","~","A_Cmpn",0,5
"N_EmoVol","~","A_Cmpn",0,5
"A_Cmpn","~","C_Rspnbl",0,5
"E_Scblty","~","C_Rspnbl",0,5
"A_Cmpn","~","C_Rspnbllag",0,5
"N_Depr","~","C_Rspnbllag",0,5
"A_Rspct","~","cumsumT",0,5
"E_Scblty","~","N_Anxty",0,5
"N_EmoVol","~","N_Anxty",0,5
"A_Rspct","~","N_Depr",0,5
"C_Rspnbl","~","A_Cmpnlag",0,4
"N_Anxty","~","A_Rspct",0,4
"C_Rspnbl","~","A_Rspctlag",0,4
"A_Rspct","~","C_Prdctv",0,4
"E_EnerLev","~","C_Rspnbl",0,4
"C_Prdctv","~","cumsumT",0,4
"A_Cmpn","~","E_EnerLev",0,4
"C_Prdctv","~","E_EnerLevlag",0,4
"A_Rspct","~","E_Scbltylag",0,4
"E_EnerLev","~","N_Anxty",0,4
"E_EnerLev","~","N_Anxtylag",0,4
"N_Depr","~","N_Anxtylag",0,4
"A_Cmpn","~","N_Depr",0,4
"A_Cmpn","~","N_EmoVol",0,4
"E_EnerLev","~","A_Cmpn",0,3
"C_Prdctv","~","A_Cmpnlag",0,3
"E_Scblty","~","A_Cmpnlag",0,3
"N_Depr","~","A_Cmpnlag",0,3
"E_EnerLev","~","A_Rspct",0,3
"A_Cmpn","~","A_Rspctlag",0,3
"E_Scblty","~","C_Prdctv",0,3
"C_Rspnbl","~","C_Prdctvlag",0,3
"A_Rspct","~","C_Rspnbl",0,3
"N_EmoVol","~","C_Rspnbl",0,3
"A_Cmpn","~","cumsumT",0,3
"C_Rspnbl","~","cumsumT",0,3
"E_EnerLev","~","cumsumT",0,3
"A_Rspct","~","E_EnerLev",0,3
"N_Anxty","~","E_EnerLev",0,3
"A_Rspct","~","E_EnerLevlag",0,3
"E_Scblty","~","E_EnerLevlag",0,3
"C_Prdctv","~","E_Scblty",0,3
"C_Rspnbl","~","E_Scblty",0,3
"C_Prdctv","~","E_Scbltylag",0,3
"C_Rspnbl","~","N_Anxty",0,3
"A_Cmpn","~","N_Anxtylag",0,3
"C_Prdctv","~","N_Anxtylag",0,3
"C_Rspnbl","~","N_Depr",0,3
"C_Rspnbl","~","N_Deprlag",0,3
"N_EmoVol","~","N_Deprlag",0,3
"E_Scblty","~","N_EmoVol",0,3
"A_Rspct","~","N_EmoVollag",0,3
"C_Prdctv","~","N_EmoVollag",0,3
"C_Rspnbl","~","N_EmoVollag",0,3
"N_Depr","~","A_Cmpn",0,2
"E_EnerLev","~","A_Cmpnlag",0,2
"N_Anxty","~","A_Cmpnlag",0,2
"N_EmoVol","~","A_Cmpnlag",0,2
"C_Prdctv","~","A_Rspct",0,2
"N_Depr","~","A_Rspct",0,2
"N_EmoVol","~","A_Rspct",0,2
"E_EnerLev","~","A_Rspctlag",0,2
"E_Scblty","~","A_Rspctlag",0,2
"N_Anxty","~","A_Rspctlag",0,2
"N_Depr","~","A_Rspctlag",0,2
"N_Anxty","~","C_Prdctv",0,2
"N_Depr","~","C_Prdctv",0,2
"A_Cmpn","~","C_Prdctvlag",0,2
"N_Anxty","~","C_Prdctvlag",0,2
"N_Depr","~","C_Prdctvlag",0,2
"C_Prdctv","~","C_Rspnbllag",0,2
"E_EnerLev","~","C_Rspnbllag",0,2
"N_Anxty","~","C_Rspnbllag",0,2
"E_Scblty","~","cumsumT",0,2
"N_Anxty","~","cumsumT",0,2
"N_EmoVol","~","cumsumT",0,2
"C_Rspnbl","~","E_EnerLevlag",0,2
