"E_Scbltylag","E_EnerLevlag","A_Cmpnlag","A_Rspctlag","N_Deprlag","N_Anxtylag","N_EmoVollag","C_Prdctvlag","C_Rspnbllag","E_Scblty","E_EnerLev","A_Cmpn","A_Rspct","N_Depr","N_Anxty","N_EmoVol","C_Prdctv","C_Rspnbl","cumsumT"
45,3,3,2,2,1,1,0,1,0,12,1,1,7,5,3,3,5,2
2,45,2,2,0,4,2,0,2,15,0,3,3,7,4,1,11,4,3
1,1,45,3,2,3,1,2,5,7,4,0,6,4,0,4,1,5,3
4,3,1,45,0,1,3,7,0,6,3,7,0,5,1,6,4,3,5
2,0,3,2,45,4,1,2,5,2,6,2,2,0,12,6,2,6,6
0,1,2,2,2,45,2,2,2,1,3,1,4,16,0,7,2,6,2
1,1,2,0,3,0,45,0,1,1,1,5,2,17,5,0,1,3,2
3,4,3,6,2,3,3,45,2,3,8,5,2,7,2,2,0,13,4
2,2,4,4,3,6,3,3,45,3,6,6,1,3,3,2,9,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
